Reads,EC1,EC2,EC3,Sp1,Sp2,Sp3,Ve1,Ve2,Ve3
LOC_Os01g06420.1,0,0,0,1,0,0,0,0,0
LOC_Os01g06430.1,0,0,0,24,23,22,0,3,0
LOC_Os01g06440.1,0,0,0,18,9,3,1,1,0
LOC_Os01g06450.1,0,2,2,20,7,1,2,0,0
LOC_Os01g06454.1,28,15,2,16,7,9,4,0,0
LOC_Os01g06460.1,234,215,135,145,84,481,2331,2068,2828
LOC_Os01g06470.1,71,52,65,1,0,0,2,1,7
LOC_Os01g06490.1,35,43,15,1,0,2,0,0,3
LOC_Os01g06500.1,0,0,0,0,0,1,0,0,0
LOC_Os01g06510.1,36,39,21,195,172,75,14,10,12
LOC_Os01g06520.1,27,23,13,9,8,11,0,0,0
LOC_Os01g06530.1,1,1,1,237,40,165,12,3,17
LOC_Os01g06540.1,0,0,0,60,31,34,1,2,3
LOC_Os01g06550.1,283,268,154,52,16,25,7,9,4
LOC_Os01g06560.2,773,1022,774,0,0,2,0,0,1
LOC_Os01g06580.1,0,1,0,25,19,14,0,1,1
LOC_Os01g06590.1,773,1165,558,1719,1206,998,613,742,957
LOC_Os01g06600.2,542,603,360,53,29,31,5,4,4
LOC_Os01g06620.1,2,2,14,298,174,952,2840,2813,2699
LOC_Os01g06630.1,2,11,0,2,0,5,85,73,170
LOC_Os01g06640.3,4,1,3,66,57,29,50,21,133
LOC_Os01g06650.1,0,0,0,32,29,10,0,5,0
LOC_Os01g06660.1,1,5,1,778,574,277,18,14,11
LOC_Os01g06670.1,0,0,0,2,0,0,0,0,0
LOC_Os01g06680.1,0,1,0,91,21,56,2,3,3
LOC_Os01g06720.1,2,0,0,0,0,0,1,0,0
LOC_Os01g06730.1,21,16,44,0,0,0,1,0,0
LOC_Os01g06740.1,4,7,3,0,0,0,0,0,0
LOC_Os01g06770.1,0,0,0,0,1,16,0,0,0
LOC_Os01g06790.1,1,0,0,250,105,108,15,2,14
LOC_Os01g06820.1,0,0,0,0,1,0,0,0,0
LOC_Os01g06836.1,0,0,0,5,0,1,2,0,0
LOC_Os01g06870.1,0,0,0,0,0,1,0,0,0
LOC_Os01g06876.1,0,0,0,0,0,0,10,0,5
LOC_Os01g06882.1,0,0,0,0,0,0,6,0,7
LOC_Os01g06890.1,0,0,0,0,1,0,0,0,0
LOC_Os01g06900.1,0,0,0,73,9,22,8,3,14
LOC_Os01g06910.1,0,0,0,1,0,0,0,0,0
LOC_Os01g06920.1,7,9,10,4,8,4,11,4,15
LOC_Os01g07010.1,0,0,0,0,0,0,0,0,1
LOC_Os01g07020.1,0,0,0,6,1,0,0,0,0
